firmID,nwrks,wage_av,profit_av_firm,educ_av_firm,firm_age,ind,region
"A207468",13,107.8706,1718.667,3.4,6483,221,8
"A208008",104,334.9165,69116.06,2.857143,8753,722,8
"A20825",48,230.2204,446.46,1.2,3835,926,3
"A209353",635,113.2046,10543.08,2.966102,3074,,20
"A209484",6,77.42282,312.5,3,6361,,28
"A209531",16,50.11041,1229.867,3,6143,,8
"A209550",15,222.3144,114610.3,4.2,3439,748,8
"A209749",52,99.07544,75.28,2.5,6149,453,8
"A2099854",137,49.08511,1452.22,1.772242,5030,524,28
"A211417",85,59.29446,15643.9,1.8,6277,,21
"A211431",102,164.8088,2862.654,2.857143,6361,,3
"A211680",85,92.97836,120,3,6297,,8
"A2121755",7,39.59612,1981.67,1,4504,748,28
"A2126252",10,46.46504,8291.64,2,4016,221,28
"A2129758",59,49.81732,33322.16,2.666667,3673,,4
"A2134422",14,32.84576,845,1,3099,,28
"A2134680",0,78.50166,4860,2,2993,,16
"A2136949",16,38.88917,1500,3,2540,,28
"A2137675",8,44.44748,5835.18,3,1004,632,8
"A2143814",16,57.31941,7280.82,2,7389,515,29
"A2166223",5,50.26353,1021.08,2,729,741,14
"A2167498",34,44.10196,350.93,3,21021,,10
"A2168418",14,40.90087,4520,3,14852,281,30
"A2199820",35,46.88348,66.11,1,7944,264,32
"A2205056",13,50.52333,32016.8,3,11656,284,33
"A2205103",2,48.01717,214.74,1.25,6129,516,29
"A221411",39,116.5029,1941.25,3.4,915,721,41
"A2218905",13,31.58083,150,3,8460,,35
"A2219302",1,36.93032,3200,3,7377,511,35
"A2219438",12,27.10159,352.94,0,3620,,35
"A2235411",12,72.98692,81,1,4305,50,36
"A223943",1012,54.80227,20458.97,1.910526,4851,555,28
"A224002",234,86.90324,62992.25,2.6,14578,454,8
"A224445",10,45.09109,35643.6,3,6559,,8
"A2250250",2,22.91838,1217.21,3,213,703,38
"A225832",0,55.8788,443.89,2.166667,6300,631,8
"A2264851",15,40.674,190,2,7115,,39
"A2276337",19,58.27593,3230,2,9030,,21
"A2276482",40,42.82281,1100,2,8521,,41
"A2276988",26,27.43989,1860.52,1,7633,151,21
"A2277625",16,74.66266,198.09,2,213,502,21
"A228093",32,86.28928,2141.55,3,6177,,8
"A229006",23,52.54329,975.37,2,6300,,8
"A2294901",6,83.55583,179.11,2,3726,,41
"A2295820",13,116.8307,130719.1,3,5274,913,41
"A2296953",42,58.39775,9322.92,3,4800,524,41
"A2300231",18,36.93912,704,2,3591,,41
"A2303194",23,17.8463,90.13,2,9358,501,42
"A2304561",11,37.36564,1800.95,1,9912,,43
"A2304634",23,42.44691,2376.2,1.666667,15011,284,43
"A2304942",35,68.0834,382.7,1.5,9739,,43
